Model,Horizonte,MAE_Int_6m_h1,RMSE_Int_6m_h1,R2_Int_6m_h1,Acc05_Int_6m_h1%,MAE_Int_6m_h2,RMSE_Int_6m_h2,R2_Int_6m_h2,Acc05_Int_6m_h2%,MAE_Int_superficie_h1,RMSE_Int_superficie_h1,R2_Int_superficie_h1,Acc05_Int_superficie_h1%,MAE_Int_superficie_h2,RMSE_Int_superficie_h2,R2_Int_superficie_h2,Acc05_Int_superficie_h2%,MAE_Int_3m_h1,RMSE_Int_3m_h1,R2_Int_3m_h1,Acc05_Int_3m_h1%,MAE_Int_3m_h2,RMSE_Int_3m_h2,R2_Int_3m_h2,Acc05_Int_3m_h2%
Gradient Boosting,+1h,0.349,0.463,0.549,76.28,0.389,0.495,0.48,70.3,0.316,0.411,0.64,80.79,0.363,0.463,0.545,73.69,0.317,0.412,0.671,80.19,0.373,0.478,0.558,72.76
Gradient Boosting,+2h,0.338,0.441,0.586,77.63,0.393,0.511,0.451,70.27,0.311,0.402,0.656,81.12,0.363,0.465,0.539,74.05,0.314,0.41,0.676,80.71,0.373,0.476,0.561,72.73
XGBoost,+1h,0.353,0.477,0.522,76.33,0.391,0.51,0.448,70.82,0.319,0.422,0.621,79.88,0.37,0.476,0.517,72.84,0.321,0.421,0.657,80.01,0.379,0.486,0.543,72.48
XGBoost,+2h,0.345,0.46,0.549,76.83,0.399,0.527,0.416,70.09,0.312,0.412,0.638,81.31,0.363,0.473,0.523,73.95,0.318,0.42,0.659,79.57,0.376,0.484,0.545,72.29
LightGBM,+1h,0.341,0.458,0.559,77.89,0.379,0.486,0.497,72.37,0.307,0.402,0.657,82.37,0.355,0.454,0.562,75.3,0.307,0.402,0.687,81.77,0.36,0.465,0.583,74.86
LightGBM,+2h,0.329,0.433,0.602,79.36,0.385,0.503,0.467,71.34,0.3,0.391,0.675,82.91,0.352,0.455,0.56,75.06,0.303,0.399,0.693,82.39,0.361,0.464,0.583,74.57
CatBoost,+1h,0.339,0.457,0.561,78.07,0.379,0.49,0.49,72.97,0.304,0.401,0.657,82.24,0.356,0.458,0.553,75.5,0.306,0.402,0.687,82.19,0.361,0.465,0.582,74.52
CatBoost,+2h,0.327,0.432,0.603,79.13,0.384,0.504,0.466,72.24,0.298,0.391,0.675,83.01,0.35,0.456,0.556,75.12,0.302,0.398,0.693,81.8,0.36,0.462,0.585,75.04
MLP,+1h,0.372,0.5,0.474,74.37,0.417,0.538,0.386,67.24,0.335,0.44,0.588,78.38,0.379,0.487,0.494,71.98,0.341,0.445,0.616,77.06,0.399,0.509,0.499,69.76
MLP,+2h,0.356,0.471,0.528,75.66,0.426,0.559,0.341,67.63,0.329,0.43,0.607,78.38,0.375,0.485,0.499,71.85,0.337,0.441,0.625,77.34,0.398,0.506,0.503,69.08
LSTM_V4,+1h,0.335,0.454,0.566,78.97,0.373,0.484,0.502,73.59,0.3,0.4,0.66,83.17,0.352,0.458,0.555,75.69,0.31,0.408,0.677,81.8,0.363,0.469,0.574,74.68
LSTM_V4,+2h,0.323,0.431,0.606,80.42,0.38,0.502,0.47,72.81,0.295,0.391,0.675,83.92,0.351,0.455,0.558,77.03,0.302,0.401,0.689,82.55,0.36,0.466,0.578,75.14
