Model,Horizonte,MAE_Int_6m_h1,RMSE_Int_6m_h1,R2_Int_6m_h1,Acc05_Int_6m_h1%,MAE_Int_6m_h2,RMSE_Int_6m_h2,R2_Int_6m_h2,Acc05_Int_6m_h2%,MAE_Int_superficie_h1,RMSE_Int_superficie_h1,R2_Int_superficie_h1,Acc05_Int_superficie_h1%,MAE_Int_superficie_h2,RMSE_Int_superficie_h2,R2_Int_superficie_h2,Acc05_Int_superficie_h2%,MAE_Int_3m_h1,RMSE_Int_3m_h1,R2_Int_3m_h1,Acc05_Int_3m_h1%,MAE_Int_3m_h2,RMSE_Int_3m_h2,R2_Int_3m_h2,Acc05_Int_3m_h2%
Gradient Boosting,+1h,0.342,0.473,0.554,79.18,0.4,0.524,0.439,72.26,0.353,0.468,0.557,75.37,0.374,0.477,0.531,72.03,0.329,0.421,0.661,79.64,0.371,0.476,0.575,74.28
Gradient Boosting,+2h,0.39,0.498,0.492,71.56,0.421,0.556,0.341,67.52,0.373,0.476,0.533,71.25,0.406,0.514,0.439,68.22,0.389,0.5,0.532,71.25,0.383,0.497,0.532,70.55
Gradient Boosting,+3h,0.403,0.516,0.433,70.01,0.402,0.513,0.432,68.61,0.403,0.505,0.458,66.59,0.379,0.486,0.501,71.33,0.414,0.529,0.469,68.22,0.395,0.503,0.506,70.63
Gradient Boosting,+4h,0.394,0.501,0.458,70.01,0.412,0.535,0.369,66.67,0.387,0.494,0.484,69.77,0.388,0.493,0.452,70.24,0.407,0.523,0.464,69.46,0.399,0.508,0.482,69.39
Gradient Boosting,+5h,0.405,0.518,0.408,67.68,0.411,0.537,0.373,67.06,0.402,0.505,0.426,67.6,0.389,0.498,0.45,71.02,0.414,0.527,0.443,66.59,0.411,0.523,0.46,66.9
Gradient Boosting,+6h,0.405,0.525,0.4,69.08,0.428,0.569,0.355,66.82,0.392,0.498,0.452,69.46,0.42,0.55,0.388,67.37,0.42,0.538,0.431,66.74,0.422,0.536,0.449,66.59
XGBoost,+1h,0.34,0.472,0.557,77.93,0.4,0.527,0.432,71.56,0.359,0.476,0.542,75.45,0.378,0.48,0.526,71.87,0.329,0.421,0.66,79.18,0.375,0.48,0.568,73.27
XGBoost,+2h,0.391,0.499,0.491,70.4,0.423,0.557,0.341,69.15,0.373,0.477,0.53,72.34,0.408,0.52,0.426,67.75,0.387,0.499,0.533,72.18,0.388,0.5,0.526,71.17
XGBoost,+3h,0.407,0.518,0.429,69.15,0.404,0.519,0.42,68.3,0.404,0.506,0.457,66.51,0.379,0.486,0.5,72.8,0.416,0.534,0.459,67.68,0.401,0.514,0.483,69.54
XGBoost,+4h,0.396,0.504,0.451,68.3,0.415,0.54,0.358,66.12,0.389,0.496,0.48,70.09,0.393,0.497,0.443,69.93,0.412,0.533,0.444,67.99,0.404,0.516,0.464,67.91
